Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
backDrivenCabin,-1.58703085885771E-07,-0.0462855357367795,-0.00083893647493423,0,0,0,5.94333504291267,0.05065030444631,4.33941126540489E-08,-0.000278613283705558,0.0787556572438086,-4.43469112913998E-06,0.0608823150159988,0,0,0,0,0,0,package://sw2urdfWS2d/meshes/backDrivenCabin.STL,0.411764705882353,0.411764705882353,0.411764705882353,1,0,0,0,0,0,0,package://sw2urdfWS2d/meshes/backDrivenCabin.STL,,尾部后驱舱段(平面)-1/42步进电机-2;尾部后驱舱段(平面)-1/尾舱后盖-1;尾部后驱舱段(平面)-1/密封壳-1;尾部后驱舱段(平面)-1/舱段前盖-1;尾部后驱舱段(平面)-1/二级减速器带5mm孔-1;尾部后驱舱段(平面)-1/横向板-1;尾部后驱舱段(平面)-1/上下推固定架-1;尾部后驱舱段(平面)-1/42步进电机-1;尾部后驱舱段(平面)-1/横向板-2;尾部后驱舱段(平面)-1/上推固定架带钩孔-1;尾部后驱舱段(平面)-1/通用驱动舱段后半段-1;尾部后驱舱段(平面)-1/通用驱动舱段前半段-2;尾部后驱舱段(平面)-1/通用驱动舱段前半段-1;尾部后驱舱段(平面)-1/轴承端-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
frontDrivenCabin,-1.63127334655211E-07,-0.419439622488326,0.00195154287583103,0,0,0,6.28907190774222,0.0538005603256902,4.33958813501213E-08,-0.000278613283705526,0.0847113379618653,-4.25365720591421E-06,0.0639791683968027,0,0,0,0,0,0,package://sw2urdfWS2d/meshes/frontDrivenCabin.STL,1,1,1,1,0,0,0,0,0,0,package://sw2urdfWS2d/meshes/frontDrivenCabin.STL,,中部前驱舱段(平面)-1/二级减速器-1;中部前驱舱段(平面)-1/42步进电机-2;中部前驱舱段(平面)-1/二级减速器带5mm孔-1;中部前驱舱段(平面)-1/舱段前盖-1;中部前驱舱段(平面)-1/舱段后盖-1;中部前驱舱段(平面)-1/密封壳-1;中部前驱舱段(平面)-1/42步进电机-1;中部前驱舱段(平面)-1/轴承端-1;中部前驱舱段(平面)-1/上推固定架带钩孔-1;中部前驱舱段(平面)-1/横向板-2;中部前驱舱段(平面)-1/横向板-1;中部前驱舱段(平面)-1/通用驱动舱段前半段-1;中部前驱舱段(平面)-1/通用驱动舱段后半段-1;中部前驱舱段(平面)-1/上下推固定架-1;中部前驱舱段(平面)-1/通用驱动舱段前半段-2;尾部后驱舱段(平面)-1/支撑板-1;尾部后驱舱段(平面)-1/支撑被动臂-1;尾部后驱舱段(平面)-1/支撑活动臂-1,Origin_J1,,J1,revolute,0,-0.388,0,0,0,0,backDrivenCabin,0,0,1,0,0,0,0,,,,,,,,
headCabin,2.82670958949681E-06,0.0050086732844179,0.326719213716778,0,0,0,4.40387857644999,0.0574561778760165,1.99081524582439E-07,-1.35519957731174E-07,0.0574181363967825,1.24168050548233E-07,0.078072933867114,0,0,0,0,0,0,package://sw2urdfWS2d/meshes/headCabin.STL,0.933333333333333,0.372549019607843,0,1,0,0,0,0,0,0,package://sw2urdfWS2d/meshes/headCabin.STL,,头部舱段-1/舱段后盖-1;头部舱段-1/蛇头-1;头部舱段-1/普通舱段后半段-1;中部前驱舱段(平面)-1/支撑活动臂-1;中部前驱舱段(平面)-1/支撑被动臂-1;中部前驱舱段(平面)-1/支撑板-1,Origin_J2,,J2,revolute,0,-0.776,0,1.5708,0,0,frontDrivenCabin,0,1,0,0,0,0,0,,,,,,,,
FR,2.67719476334952E-06,-0.00821452737266326,0.00191068038065456,0,0,0,0.163699075202484,0.000129954159439666,-1.46424862865547E-08,-6.27270268619217E-12,0.000119854046883797,-1.94024404784293E-08,9.74198043808335E-05,0,0,0,0,0,0,package://sw2urdfWS2d/meshes/FR.STL,1,1,1,1,0,0,0,0,0,0,package://sw2urdfWS2d/meshes/FR.STL,,水下推进器装配45度-5,Origin_FRJ3,Axis_FRJ,FRJ,fixed,0.194999771339964,-0.248658356702528,0.00251455813324088,1.57079632679514,1.56934569550971,-3.14159265358955,frontDrivenCabin,0,0,0,,,,,,,,,,,,
FL,2.67719476338291E-06,-0.00821452737266321,0.00191068038065467,0,0,0,0.163699075202483,0.000129954159439665,-1.46424862865548E-08,-6.27270249709518E-12,0.000119854046883797,-1.94024404784619E-08,9.74198043808332E-05,0,0,0,0,0,0,package://sw2urdfWS2d/meshes/FL.STL,1,1,1,1,0,0,0,0,0,0,package://sw2urdfWS2d/meshes/FL.STL,,水下推进器装配45度-6,Origin_FLJ3,Axis_FLJ,FLJ,fixed,-0.195000249703343,-0.248658356702528,0.00248554551770515,-1.57079632679514,-1.56934569550971,0,frontDrivenCabin,0,0,0,,,,,,,,,,,,
FU,2.67719476321204E-06,-0.00821452737266329,0.00191068038065466,0,0,0,0.163699075202485,0.000129954159439666,-1.46424862851623E-08,-6.27270220425965E-12,0.000119854046883797,-1.94024404776292E-08,9.74198043808337E-05,0,0,0,0,0,0,package://sw2urdfWS2d/meshes/FU.STL,1,1,1,1,0,0,0,0,0,0,package://sw2urdfWS2d/meshes/FU.STL,,水下推进器装配45度-8,Origin_FUJ3,Axis_FUJ,FUJ,fixed,-0.00100023918168426,-0.512172863010291,-0.0949999376528762,-1.57079632679494,0.00145063128510239,1.5707963267949,frontDrivenCabin,0,0,0,,,,,,,,,,,,
FD,2.67719476299E-06,-0.00821452737266332,0.00191068038065474,0,0,0,0.163699075202484,0.000129954159439666,-1.46424862852724E-08,-6.2727019716175E-12,0.000119854046883796,-1.94024404767218E-08,9.74198043808334E-05,0,0,0,0,0,0,package://sw2urdfWS2d/meshes/FD.STL,1,1,1,1,0,0,0,0,0,0,package://sw2urdfWS2d/meshes/FD.STL,,水下推进器装配45度-7,Origin_FDJ3,Axis_FDJ,FDJ,fixed,0.000999760818305179,-0.512172863010291,0.100000041303816,1.57079632679482,-0.0014506312851017,1.57079632679489,frontDrivenCabin,0,0,0,,,,,,,,,,,,
BR,2.62536934734868E-06,-0.00821452729748362,0.00191068038065448,0,0,0,0.163699075202483,0.000129954159439665,-1.46424862866884E-08,-6.27270254963009E-12,0.000119854046883796,-1.94024404784353E-08,9.74198043808335E-05,0,0,0,0,0,0,package://sw2urdfWS2d/meshes/BR.STL,1,1,1,1,0,0,0,0,0,0,package://sw2urdfWS2d/meshes/BR.STL,,水下推进器装配45度-1,Origin_BRJ4,,BRJ,fixed,0.195,0.13934,1.4506E-05,1.5708,1.5693,-3.1416,backDrivenCabin,0,0,0,,,,,,,,,,,,
BL,2.72902017836113E-06,-0.00821452744784287,0.00191068038065451,0,0,0,0.163699075202483,0.000129954159439665,-1.46424862865997E-08,-6.2727026411895E-12,0.000119854046883797,-1.94024404784626E-08,9.74198043808334E-05,0,0,0,0,0,0,package://sw2urdfWS2d/meshes/BL.STL,1,1,1,1,0,0,0,0,0,0,package://sw2urdfWS2d/meshes/BL.STL,,水下推进器装配45度-2,Origin_BLJ3,,BLJ,fixed,-0.195,0.13934,-1.4506E-05,-1.5708,-1.5693,0,backDrivenCabin,0,0,0,,,,,,,,,,,,
BU,2.67719476318429E-06,-0.00821452737266336,0.0019106803806546,0,0,0,0.163699075202483,0.000129954159439665,-1.46424862854772E-08,-6.27270248051508E-12,0.000119854046883796,-1.94024404775099E-08,9.74198043808332E-05,0,0,0,0,0,0,package://sw2urdfWS2d/meshes/BU.STL,1,1,1,1,0,0,0,0,0,0,package://sw2urdfWS2d/meshes/BU.STL,,水下推进器装配45度-4,Origin_BUJ3,,BUJ,fixed,-0.0010002,-0.12417,-0.0975,-1.5708,0.0014506,1.5708,backDrivenCabin,0,0,0,,,,,,,,,,,,
