FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
0,52,-103,0,52,-103,0,52,-103,0,52,-103
0,60,-118,0,60,-118,0,60,-118,0,60,-118
0,68,-132,0,68,-132,0,68,-132,0,68,-132
0,76,-146,0,76,-146,0,76,-146,0,76,-146
0,68,-132,0,68,-132,0,68,-132,0,68,-132
0,60,-118,0,60,-118,0,60,-118,0,60,-118
0,52,-103,0,52,-103,0,52,-103,0,52,-103
0,48,-96,0,48,-96,0,48,-96,0,48,-96
0,52,-103,0,52,-103,0,52,-103,0,52,-103
0,60,-118,0,60,-118,0,60,-118,0,60,-118
0,68,-132,0,68,-132,0,68,-132,0,68,-132
0,52,-103,0,52,-103,0,52,-103,0,52,-103
